South Africa North,Africa,/subscriptions/00000000-0000-2222-0000-000000000000/locations/southafricanorth,-25.73134,28.21837,southafricanorth,southafricawest,Johannesburg,Recommended,(Africa) South Africa North,Physical,00000000-0000-2222-0000-000000000000
South Africa West,Africa,/subscriptions/00000000-0000-2222-0000-000000000000/locations/southafricawest,-34.075691,18.843266,southafricawest,southafricanorth,Cape Town,Other,(Africa) South Africa West,Physical,00000000-0000-2222-0000-000000000000
South Central US,US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/southcentralus,29.4167,-98.5,southcentralus,northcentralus,Texas,Recommended,(US) South Central US,Physical,00000000-0000-2222-0000-000000000000
South Central US (Stage),US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/southcentralusstage,,,southcentralusstage,,,Other,(US) South Central US (Stage),Logical,00000000-0000-2222-0000-000000000000
South India,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/southindia,12.9822,80.1636,southindia,centralindia,Chennai,Other,(Asia Pacific) South India,Physical,00000000-0000-2222-0000-000000000000
Southeast Asia,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/southeastasia,1.283,103.833,southeastasia,eastasia,Singapore,Recommended,(Asia Pacific) Southeast Asia,Physical,00000000-0000-2222-0000-000000000000
Southeast Asia (Stage),Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/southeastasiastage,,,southeastasiastage,,,Other,(Asia Pacific) Southeast Asia (Stage),Logical,00000000-0000-2222-0000-000000000000
Sweden Central,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/swedencentral,60.67488,17.14127,swedencentral,swedensouth,Gävle,Recommended,(Europe) Sweden Central,Physical,00000000-0000-2222-0000-000000000000
Switzerland,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/switzerland,,,switzerland,,,Other,Switzerland,Logical,00000000-0000-2222-0000-000000000000
Switzerland North,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/switzerlandnorth,47.451542,8.564572,switzerlandnorth,switzerlandwest,Zurich,Recommended,(Europe) Switzerland North,Physical,00000000-0000-2222-0000-000000000000
Switzerland West,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/switzerlandwest,46.204391,6.143158,switzerlandwest,switzerlandnorth,Geneva,Other,(Europe) Switzerland West,Physical,00000000-0000-2222-0000-000000000000
UAE Central,Middle East,/subscriptions/00000000-0000-2222-0000-000000000000/locations/uaecentral,24.466667,54.366669,uaecentral,uaenorth,Abu Dhabi,Other,(Middle East) UAE Central,Physical,00000000-0000-2222-0000-000000000000
